RANK,MODELO,RECOMPENSA_MEDIA,STD,LR,HIDDEN_DIM,TOTAL_STEPS,BUFFER_SIZE,BATCH_SIZE,START_STEPS,GAMMA,TAU,ALPHA
1,sac_Humanoid-v5_2026-07-12_17h33m13s,8766.148931463966,250.39913259963708,0.0002,256,3000000,500000,1024,50000,0.98,0.005,0.3
2,sac_Humanoid-v5_2026-07-07_11h07m38s,7688.800408852936,1648.3884265705726,0.0003,256,3000000,500000,1024,50000,0.96,0.005,0.2
3,sac_Humanoid-v5_2026-07-09_10h15m25s,6610.244475255922,1106.896718626715,0.0001,256,2000000,500000,1024,50000,0.96,0.005,0.2
4,sac_Humanoid-v5_2026-07-10_15h18m17s,5714.380805487975,1148.8882488538936,0.0002,256,3000000,500000,1024,50000,0.98,0.005,0.3
5,sac_Humanoid-v5_2026-07-08_15h30m51s,4740.769602383369,834.5262897167786,0.0003,256,2000000,500000,1024,50000,0.999,0.005,0.2
6,sac_Humanoid-v5_2026-07-09_15h57m29s,4623.940633815274,1010.3134145717485,0.0001,256,3000000,500000,1024,50000,0.9999,0.001,0.3
7,sac_Humanoid-v5_2026-07-08_22h32m06s,3901.7822443578175,2349.6548736145432,0.0003,256,2000000,500000,1024,50000,0.96,0.005,0.2
8,sac_Humanoid-v5_2026-07-06_17h17m04s,786.9667246539826,96.93119549662038,0.0003,256,200000,1000000,100,10000,0.99,0.005,0.2
9,sac_Humanoid-v5_2026-07-07_08h12m39s,459.7210074599963,114.52582132571973,0.0003,34,200000,1000000,100,10000,0.99,0.005,0.2
10,sac_Humanoid-v5_2026-07-06_14h05m35s,422.67639163299555,34.055607934044076,0.0003,34,200000,1000000,50,10000,0.99,0.005,0.2
11,sac_Humanoid-v5_2026-07-11_13h09m36s,374.23151759050455,88.22723441016176,0.0002,256,3000000,500000,1024,50000,0.98,0.005,0.3
12,sac_Humanoid-v5_2026-07-10_15h18m14s,263.88624678743906,6.09925913940028,0.0002,256,3000000,500000,1024,50000,0.98,0.005,0.3
