Step,Reward
17,83.49
58,196.82
93,166.36
113,94.92
131,83.19
152,101.34
170,84.58
196,116.88
226,135.63
256,142.58
276,95.42
310,152.29
353,193.72
375,105.09
393,82.80
412,89.22
430,83.58
454,113.40
484,137.97
503,86.39
521,83.80
540,90.13
560,93.92
601,192.13
619,83.40
648,139.01
666,82.59
699,150.14
719,94.91
736,77.00
756,88.39
778,103.32
798,94.59
816,83.27
872,267.26
898,122.16
923,115.64
949,125.28
986,166.40
1005,88.69
1022,78.50
1042,92.72
1059,78.47
1087,136.91
1109,104.77
1127,84.05
1152,112.76
1187,170.17
1211,111.24
1253,197.15
1272,88.02
1296,109.45
1315,88.95
1339,114.46
1356,78.64
1380,114.70
1397,78.53
1426,129.14
1453,132.18
1475,103.85
1507,153.39
1537,139.75
1556,88.93
1591,161.49
1618,119.35
1649,148.06
1668,88.35
1692,114.02
1713,98.45
1733,92.89
1752,88.12
1775,108.22
1793,82.96
1816,104.82
1840,108.85
1859,88.96
1876,78.38
1894,84.44
1913,89.19
1941,129.97
1959,82.88
1978,89.46
1997,89.30
2016,88.15
2039,106.78
2060,97.39
2091,142.53
2118,112.02
2149,141.96
2166,78.22
2192,125.71
2214,103.46
2264,253.05
2290,128.45
2318,125.35
2344,113.18
2366,103.30
2385,89.45
2402,78.27
2422,92.39
2440,83.01
2472,150.30
2497,114.89
2515,83.83
2533,83.59
2557,112.85
2589,149.02
2612,109.39
2631,88.77
2651,95.18
2680,138.17
2711,138.32
2745,157.87
2771,122.74
2806,165.02
2851,220.62
2869,83.31
2890,99.98
2924,148.99
2942,83.25
2972,136.64
2993,96.74
3017,115.09
3059,197.64
3088,133.18
3107,88.84
3129,103.74
3147,84.14
3165,83.45
3186,86.87
3210,113.73
3228,83.52
3247,89.94
3267,91.21
3297,143.73
3332,159.95
3353,97.79
3375,105.04
3413,178.87
3432,86.54
3461,128.63
3493,154.52
3539,215.16
3589,226.98
3607,83.76
3626,89.04
3648,103.72
3677,141.29
3702,118.54
3726,109.76
3747,99.35
3763,73.17
3790,125.80
3817,127.58
3851,165.33
3871,92.64
3888,78.30
3912,113.12
3932,92.12
3950,81.91
3973,106.08
3992,87.22
4010,82.99
4035,116.54
4079,200.35
4105,121.56
4137,152.79
4155,83.26
4180,115.11
4198,83.02
4221,104.59
4241,92.67
4259,83.30
4291,149.22
4320,136.11
4340,94.60
4362,104.02
4381,89.63
4399,83.65
4418,87.88
4437,89.55
4455,83.24
4474,89.11
4495,97.50
4527,151.72
4545,82.73
4576,149.87
4605,139.40
4627,103.21
4646,89.07
4685,193.13
4722,173.14
4754,144.76
4771,76.97
4794,111.46
4828,146.03
4845,78.18
4863,83.26
4889,122.24
4908,89.14
4931,108.62
4950,89.57
4970,95.61
4989,87.26
5008,89.12
5026,82.89
5056,140.83
5074,83.05
5096,98.78
5121,118.37
5153,152.76
5186,158.85
5216,140.63
5233,78.26
5250,77.68
5280,138.79
5298,83.12
5331,164.03
5352,96.25
5379,121.08
5412,150.28
5431,88.07
5455,112.18
5472,78.43
5492,95.08
5513,99.46
5532,88.99
5556,112.30
5578,104.50
5599,97.41
5617,83.76
5643,125.56
5668,111.72
5686,83.78
5716,138.87
5736,91.82
5754,83.23
5774,95.53
5793,88.98
5822,139.32
5840,84.07
5859,89.19
5892,155.83
5912,94.45
5937,112.96
5970,145.25
5993,107.73
6020,131.67
6050,133.93
6067,77.72
6085,83.42
6104,90.37
6122,82.63
6152,141.91
6186,150.50
6223,166.83
6245,104.40
6283,183.50
6318,168.82
6337,87.64
6356,86.30
6375,88.78
6408,158.91
6426,82.95
6443,77.75
6463,93.50
6498,158.70
6515,78.07
6535,94.55
6552,78.59
6571,85.84
6610,178.65
6631,97.77
6659,134.91
6677,83.87
6700,108.70
6720,95.17
6738,83.58
6757,87.48
6785,135.32
6814,138.86
6833,87.10
6858,119.24
6876,83.71
6898,104.65
6928,145.22
6947,87.74
6973,119.11
6994,98.47
7027,154.14
7057,128.81
7086,134.99
7108,102.84
7132,109.57
7160,133.29
7181,98.76
7207,126.31
7226,89.19
7252,121.04
7276,102.48
7306,139.92
7333,128.40
7354,98.85
7371,76.37
7389,82.91
7407,82.98
7425,83.32
7446,99.15
7478,154.86
7503,109.90
7522,88.90
7554,155.92
7580,123.18
7599,89.11
7628,138.01
7646,82.91
7668,100.59
7698,141.00
7718,94.11
7741,108.63
7763,104.36
7782,88.00
7799,77.69
7819,91.26
7839,92.84
7874,173.21
7893,88.59
7921,125.02
7942,97.57
7971,134.05
7992,100.25
8014,96.31
8036,103.32
8054,83.28
8075,98.00
8121,213.92
8139,83.63
8177,173.25
8219,206.77
8240,99.69
8261,100.97
8302,201.51
8355,250.12
8376,100.28
8395,89.53
8413,83.22
8433,95.72
8456,105.42
8481,120.35
8498,78.42
8522,113.91
8550,120.30
8567,78.63
8584,78.49
8614,144.82
8633,89.38
8666,152.03
8689,108.57
8709,95.25
8742,148.98
8761,88.24
8785,112.96
8803,80.71
8842,192.02
8870,130.19
8890,92.31
8913,110.78
8944,150.31
8962,83.27
8981,87.91
9002,99.44
9020,82.99
9051,136.87
9069,83.44
9095,126.22
9117,104.26
9148,151.16
9168,92.90
9186,83.58
9220,162.68
9239,89.34
9268,136.64
9288,94.09
9306,84.37
9325,87.42
9359,154.04
9379,94.24
9400,100.71
9427,125.32
9463,164.02
9482,89.06
9512,141.99
9528,73.00
9546,83.05
9572,123.88
9592,92.18
9621,138.55
9643,102.96
9674,145.19
9692,83.59
9716,109.82
9740,104.95
9769,135.88
9791,101.74
9813,99.79
9831,83.09
9850,87.59
9868,82.16
9901,159.59
9926,120.66
9953,128.27
9975,103.36
10015,175.19
10043,130.07
10079,176.83
10098,88.99
10117,87.66
10138,95.62
10158,93.20
10188,143.37
10221,151.15
10242,99.73
10276,156.17
10300,116.58
10318,83.35
10351,159.53
10369,83.47
10387,83.26
10411,113.04
10429,83.36
10452,108.86
10474,104.05
10498,112.23
10524,121.11
10542,83.46
10575,157.23
10604,141.08
10626,105.52
10651,119.97
10667,72.57
10695,126.64
10720,120.04
10738,83.54
10763,115.14
10789,123.73
10808,88.88
10838,134.43
10856,82.42
10884,131.31
10906,102.05
10926,93.44
10962,165.16
10980,82.81
10998,83.17
11026,127.99
11046,91.83
11067,96.98
11088,96.51
11108,93.45
11126,83.84
11147,98.69
11192,201.79
11210,83.29
11229,89.53
11248,87.19
11282,148.70
11302,94.63
11321,88.60
11353,152.12
11374,99.07
11394,90.92
11413,89.48
11430,78.41
11461,138.99
11487,122.85
11505,82.96
11532,123.88
11563,132.92
11586,103.51
11604,82.61
11624,92.75
11643,88.56
11661,83.24
11684,108.30
11706,103.19
11726,93.79
11752,124.27
11780,133.28
11802,99.91
11834,148.69
11853,86.04
11875,98.75
11892,78.58
11914,101.51
11932,84.10
11954,106.21
11985,144.44
12009,113.52
12035,121.33
12056,100.00
12075,88.41
12092,78.51
12116,109.67
12137,97.60
12156,88.78
12177,98.60
12194,78.27
12212,83.40
12230,83.31
12252,102.88
12270,83.57
12304,165.07
12322,83.10
12359,174.21
12379,93.07
12407,135.49
12428,98.83
12468,197.91
12495,127.50
12518,112.10
12540,99.80
12564,115.26
12585,99.80
12606,93.07
12631,120.10
12654,109.16
12679,109.97
